ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000000003.16,101.95036614422774,-0.14584428169077077,0.1969062611197871,0.38027714063929163,0.599951265561671,TSPAN6
ENSG00000000419.14,268.8949001863014,-0.40838731307770937,0.1399578105260064,0.0016276295696528082,0.011068692858960618,DPM1
ENSG00000000457.14,53.238988773213464,0.05194528233622196,0.2624583767148445,0.780650310669299,0.8930740181277057,SCYL3
ENSG00000000460.17,56.86340903956207,-0.9075204863067672,0.35428224662931307,0.0010385374344068833,0.0076783825302680336,FIRRM
ENSG00000000971.17,32.69218408439804,0.38515398559748215,0.4102547519521891,0.09180941310023967,0.23515742284691946,CFH
ENSG00000001036.14,210.87805705343297,-0.18868114096382324,0.14779596632052808,0.161825899759349,0.34813420324676053,FUCA2
ENSG00000001084.13,89.29068582163931,0.09023310939887165,0.22341807064517857,0.6129587742460236,0.7880898526020305,GCLC
ENSG00000001167.15,47.94924821789841,-0.23974765668816103,0.2712958136057344,0.22318565736339074,0.4291144213607285,NFYA
ENSG00000001460.18,49.54454999035624,-0.7426518629288381,0.34671704163979766,0.0044580403775032655,0.024880691997895898,STPG1
ENSG00000001461.17,269.7109888221826,-0.7199074796379664,0.15085706260927978,3.6393644561200966e-7,7.971523591838959e-6,NIPAL3
ENSG00000001497.18,310.1739524250102,-0.11542411482650704,0.1339119662349148,0.3529763954559752,0.5747466286212057,LAS1L
ENSG00000001561.7,75.75745737167544,-0.199690156292346,0.22432918935401946,0.26730624767103184,0.48124393009197997,ENPP4
ENSG00000001629.10,445.53814624694377,0.16496397872624172,0.11037680503500374,0.11641164188548568,0.27765703856127066,ANKIB1
ENSG00000001630.18,252.5895479588347,0.27977488295852393,0.1503803436959112,0.04106460607140219,0.13303683887608264,CYP51A1
ENSG00000001631.17,453.8568575412789,0.49569413546616514,0.11444836787759671,5.497258871939219e-6,8.673688492060704e-5,KRIT1
ENSG00000002016.18,29.756495448842987,0.179965501351859,0.30000176295299696,0.3550630162650842,0.5764005429238325,RAD52
ENSG00000002330.14,98.62796447839786,-0.17736933376943972,0.21443489448044584,0.31090711292135076,0.5302337066519847,BAD
ENSG00000002549.13,226.19094965103525,-0.15027694750949402,0.15062047468277198,0.272168805714348,0.48717055016936456,LAP3
ENSG00000002586.20,457.3562696818097,-0.3427416915937164,0.12223388598091339,0.002850003470119068,0.01749784494487362,CD99
ENSG00000002587.10,10.68280898241897,0.04651847309310257,0.33012162503343373,0.7580125295596851,0.8806789042573009,HS3ST1
ENSG00000002746.15,4.448965432949374,-0.011359746901805442,0.3470464224541564,0.9188856080221917,0.9630288443799065,HECW1
ENSG00000002822.16,80.19038964450944,-4.1864522810545,0.39638496861010014,5.182480854687331e-27,2.1742500447280543e-24,MAD1L1
ENSG00000002834.19,447.29803634138926,0.26421771122797216,0.12428230939046349,0.023442812189825565,0.0880963006545535,LASP1
ENSG00000002919.15,110.1226434100181,0.383106828424137,0.21401313977991313,0.032493225474592845,0.11213966572775536,SNX11
ENSG00000003056.8,706.2051369641075,-0.15072713340155305,0.34738740411412117,0.3734831722967719,0.5925910584769227,M6PR
ENSG00000003096.15,13.047892565687091,-0.15087552639470356,0.34851803038565693,0.3692577368697895,0.5887635082572883,KLHL13
ENSG00000003137.9,11.606350832294764,0.02053418598733851,0.3246141136681995,0.894974013575399,0.9516862495692127,CYP26B1
ENSG00000003147.19,14.930612106130226,0.30468458359777395,0.440284038026469,0.12249640649261966,0.2875177453783163,ICA1
ENSG00000003249.15,67.37006012874205,0.4873267234909591,0.2696253175209781,0.020805892068491674,0.08046712032076996,DBNDD1
ENSG00000003393.16,97.50211929543393,0.16569719931868426,0.2035963425119594,0.3316719150181897,0.5521874444735905,ALS2
ENSG00000003400.16,6.593699266445281,0.01763936063126224,0.34255675111438766,0.890136895693459,0.9492416875464952,CASP10
ENSG00000003402.21,119.25747685373013,-0.37711167019297176,0.22144559759024646,0.039280511326154524,0.12867021547918725,CFLAR
ENSG00000003436.16,117.99523426486388,0.6245970711952202,0.2279963609713128,0.0013799519306238327,0.00968195747038734,TFPI
ENSG00000003509.16,74.08479204939921,-0.3924023544944606,0.25554950522025544,0.04943860243348883,0.15165249587865473,NDUFAF7
ENSG00000003756.17,204.53896445615544,0.14090715612373683,0.15651223051724839,0.31938518284875933,0.538629185917481,RBM5
ENSG00000003989.18,4.479265329590281,-0.07212919970597381,0.3565657671733203,0.5278915006027705,0.7237001032980754,SLC7A2
ENSG00000004059.11,26.94227715579146,-0.5475263322594889,0.4562148236467201,0.03715585451449309,0.12369157508975298,ARF5
ENSG00000004139.14,48.32563318940226,-1.6763897036977398,0.37977300724453494,6.231094687646102e-7,1.2824298274121449e-5,SARM1
ENSG00000004142.12,368.189465538223,-0.015177187329851627,0.11699613239956637,0.8902252166801768,0.9492416875464952,POLDIP2
ENSG00000004399.13,576.3180910792045,-0.6832504805043526,0.11406238586839863,4.688477603471164e-10,1.969341158120043e-8,PLXND1
ENSG00000004455.18,517.0999334930151,-0.42732070282674484,0.10918964419285006,4.061330002358701e-5,4.918688489903261e-4,AK2
ENSG00000004478.8,547.1647695035825,0.09228654226539015,0.09895269178785236,0.333449342146499,0.5537296393180774,FKBP4
ENSG00000004487.18,191.61214715297942,0.03113363237016624,0.15356334575165131,0.8245350988381998,0.9168225135705487,KDM1A
ENSG00000004534.15,245.4268405784595,0.08501354118934043,0.14294739114253502,0.5192604681122777,0.7167923546151259,RBM6
