ensgene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000000003.16,66.37464841210176,-0.2552908831767084,0.21342892220540105,0.1358319651399448,0.2910283271870885,TSPAN6
ENSG00000000419.14,264.26140111119776,0.1757352169950076,0.13311704232119798,0.1505629230903836,0.3131265078336511,DPM1
ENSG00000000457.14,44.792311405427995,-0.25614530480332437,0.25899573333020337,0.1692531041742153,0.3409581098413087,SCYL3
ENSG00000000460.17,30.45734581143166,0.07793683575633284,0.24433483182748736,0.6517815294094258,0.793764374339609,FIRRM
ENSG00000000971.17,70.83692587999882,0.28447751483168254,0.2093166273358741,0.09445837011229592,0.22481468587971704,CFH
ENSG00000001036.14,266.2017470947468,0.06484158912013407,0.1193860201049406,0.5625596476361998,0.7307956262699357,FUCA2
ENSG00000001084.13,118.82862272685911,-0.06741170954735506,0.15628368370115897,0.6263065127548157,0.7760102642073834,GCLC
ENSG00000001167.15,62.76682972708348,0.09353915347697252,0.2105718731185972,0.5748863858849119,0.7406116621743638,NFYA
ENSG00000001460.18,26.753895626095655,-0.43687239124900057,0.3779806313951559,0.05526593949652081,0.1510835905412019,STPG1
ENSG00000001461.17,225.24169654325036,0.40625880945099274,0.14414602132301674,0.0019641933421968567,0.010821185818880837,NIPAL3
ENSG00000001497.18,108.0516619159215,0.09294175366227264,0.16744844945805512,0.5246675589555705,0.7028731444567873,LAS1L
ENSG00000001561.7,45.76179010484938,-0.33636856515062846,0.2718233937386982,0.08688127508174477,0.21184730573960853,ENPP4
ENSG00000001617.12,23.782634988298554,-0.14928299746706536,0.2801606531869313,0.3969112892083926,0.592938250254837,SEMA3F
ENSG00000001629.10,95.45542447391165,-0.4280286756468065,0.1975200127078819,0.010657019147685335,0.042696831552984475,ANKIB1
ENSG00000001630.18,223.3673141513344,0.20060397410338524,0.12650974001118917,0.0866580056413912,0.21140250433416063,CYP51A1
ENSG00000001631.17,142.90146698107134,-0.15333458834758015,0.14843955818747487,0.2499125669960561,0.44205225049718255,KRIT1
ENSG00000002016.18,46.15862850780027,-0.8037678514532155,0.3141615969051863,0.0012245591640449073,0.007261757456759811,RAD52
ENSG00000002330.14,139.08842860244485,-0.007860461876678321,0.1530807305067969,0.9532051331567682,0.9750087893906031,BAD
ENSG00000002549.13,98.20880056534888,-0.8323018865487605,0.20585976818818313,7.270758369410524e-6,8.342832497050878e-5,LAP3
ENSG00000002586.20,161.24550632513032,0.06839247512199458,0.13961758167709956,0.5916378274782996,0.7523900124181359,CD99
ENSG00000002746.15,5.1389160796446385,0.14541786140018714,0.35483514086761964,0.24539578489009314,0.43730137286715975,HECW1
ENSG00000002822.16,101.76197027084972,-0.48715014396360135,0.20513192900724855,0.005168214909149957,0.024138548876219336,MAD1L1
ENSG00000002834.19,695.8992683742377,-0.893327988018846,0.10566844014738744,3.977269998517033e-18,2.2784913921393704e-16,LASP1
ENSG00000002919.15,80.5538090407871,0.696298094030758,0.2197977715181873,2.5798407429575596e-4,0.001927431546410785,SNX11
ENSG00000003056.8,402.1522502119345,-0.027159873054585747,0.09800831478877949,0.7715565976618566,0.8706450693241236,M6PR
ENSG00000003096.15,10.456680459800616,-0.22640863313808657,0.3711588574620076,0.18216352609990716,0.3582126336543456,KLHL13
ENSG00000003137.9,14.584799640659611,0.12417485769830555,0.297355301148144,0.4572968154016192,0.6469412300993383,CYP26B1
ENSG00000003147.19,214.2256316401798,-0.3107197313683257,0.13779379033420674,0.013545187599152176,0.05149779530316681,ICA1
ENSG00000003249.15,33.9262561492997,-0.06289417338869785,0.2400531058385261,0.7120341233231278,0.8343605683386834,DBNDD1
ENSG00000003393.16,100.86067958888167,-0.17405368677880115,0.1742666315959789,0.24491687563468756,0.43659828846348886,ALS2
ENSG00000003400.16,28.336215559405726,-0.331591804453339,0.3188056490979478,0.10522868142098168,0.24272711906066735,CASP10
ENSG00000003402.21,187.88368981953442,-0.2629501511226352,0.14383135860888885,0.043136346053280754,0.12576192134569608,CFLAR
ENSG00000003436.16,1214.2944873787526,-0.5927263021336684,0.0709104767803911,1.6020093395022008e-17,8.850959073228351e-16,TFPI
ENSG00000003509.16,79.94518509566996,0.06037475120491383,0.18250199938207445,0.6962041399608909,0.8245151630858822,NDUFAF7
ENSG00000003756.17,295.3509049521111,0.12637491242167415,0.10927740632154785,0.2192757626659931,0.40596406655189216,RBM5
ENSG00000003989.18,26.982213944593394,-0.6508516152594068,0.3950133304814862,0.012799539941961237,0.04927172268756464,SLC7A2
ENSG00000004059.11,5.817928491979463,-0.13786285150056496,0.343996910135861,0.3047745194910229,0.5061102166112024,ARF5
ENSG00000004139.14,36.03717119733935,-0.33951884161880075,0.2850868185484125,0.0892125609401444,0.2156016514003334,SARM1
ENSG00000004142.12,264.3064092083653,-0.33861353676488465,0.12137670669136659,0.0027758332495823033,0.014437122679988361,POLDIP2
ENSG00000004399.13,114.08133716343748,-0.03278784856134192,0.17611351636161302,0.8267159002237743,0.9041113236809027,PLXND1
ENSG00000004455.18,558.2179164483724,-0.38016838223598043,0.09222973863170132,1.8162945426220174e-5,1.8924813942420687e-4,AK2
ENSG00000004478.8,405.8281363374252,-0.7635353119704115,0.1079347982902819,2.5331258804563026e-13,9.5453347801175e-12,FKBP4
ENSG00000004487.18,204.319884239746,-0.6253714659512856,0.14176105740735498,2.316197619099355e-6,2.9620237262370254e-5,KDM1A
ENSG00000004534.15,295.5045863809722,-0.4325984796178159,0.11941075984333101,1.1449683426858345e-4,9.475284392429414e-4,RBM6
